system_equipment,equipment_description,equipment_code,equipment_level,parent_code,parent_level,type_travail,action_entity,date_declaration,date_fin,date_creation,cout_total,source
B7220T8001,MONOBLOC,B7220T8001-J60,2,B7220T8001,1.0,CORR,ELKS_UAP1,2023-01-17,2023-06-01,2023-01-17,160.95365296666668,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001,1,,,CORR,ELKS_UAP1,2023-01-17,2023-06-01,2023-01-18,120.715239725,2023_CORRECTIF
B7254T0169,DATEUSE,B7254T0169-EXTRAC,2,B7254T0169,1.0,CORR,LLK,2023-01-17,2023-04-08,2023-01-17,72470.58121921359,2023_CORRECTIF
B7254T0170,DATEUR INDUSTRIEL A JET D ENCRE,B7254T0170,1,,,CORR,ELKS_UAP2,2023-01-17,2023-06-01,2023-01-17,89.29054404,2023_CORRECTIF
B9305T0002,ATELIER,B9305T0002,1,,,CORR,LLK,2023-01-17,2023-04-08,2023-01-17,111.86061413768503,2023_CORRECTIF
BEC-ADM-ETAG1_FRD,EQUIPEMENTS FROID ET CLIMATISATION 1ER ETAGE,BEC-ADM-ETAG1_FRD,1,,,CORR,BEC,2023-01-17,2023-01-17,2023-01-19,2100.08122536,2023_CORRECTIF
B7260T8001,PASTEURISATEUR REFROIDI À TUNNEL(SDA),B7260T8001,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-22,506346.8845381317,2023_CORRECTIF
B7210T8004,LAVEUSE BOUTEILLES(SDA),B7210T8004,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-20,74.4087867,2023_CORRECTIF
B7210T8004,LAVEUSE BOUTEILLES(SDA),B7210T8004,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-20,297.6351468,2023_CORRECTIF
B7210T8004,LAVEUSE BOUTEILLES(SDA),B7210T8004,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-20,0.0,2023_CORRECTIF
B7210T8004,LAVEUSE BOUTEILLES(SDA),B7210T8004,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-20,0.0,2023_CORRECTIF
B7214T8001,SOUFFLEUSE SBO 20 5767,B7214T8001,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-23,173.6205023,2023_CORRECTIF
B7214T8001,SOUFFLEUSE SBO 20 5767,B7214T8001,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-23,24.8029289,2023_CORRECTIF
B7216T0011,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,B7216T0011,1,,,CORR,LLK,2023-01-18,2023-04-08,2023-01-19,63073.65854862005,2023_CORRECTIF
B7217T0001,SOUTIREUSE,B7217T0001-S284,3,B7217T0001-S004,2.0,CORR,ELKS_UAP2,2023-01-18,2023-06-01,2023-01-18,548.525569735,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-20,1003.631628,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-20,539.4501817,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-20,437.208945345,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-20,2762.945039136996,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001,1,,,CORR,ELKS_UAP1,2023-01-18,2023-06-01,2023-01-20,674.26,2023_CORRECTIF
